Latitude,Longitude,Year,Month,Day,displacement,count
-34.11658,151.2231,2014,8,21,-175.13938954479937,24
-34.11658,151.2231,2014,8,22,-234.39423070145105,24
-34.11658,151.2231,2014,8,23,-45.20321520091256,24
-34.11658,151.2231,2014,8,24,16.905862477999012,24
-34.11658,151.2231,2014,8,25,16.339469946267744,24
-34.11658,151.2231,2014,8,26,-53.51454830698007,24
-34.11658,151.2231,2014,8,27,-239.92769481762792,24
-34.11658,151.2231,2014,8,28,-347.39908672321684,24
-34.11658,151.2231,2014,8,29,-692.825345526923,24
-34.11658,151.2231,2014,8,30,-445.88138367297324,24
-34.11658,151.2231,2014,8,31,-6.087128725844746,24
-34.11658,151.2231,2014,9,1,-47.42105562010379,24
-34.11658,151.2231,2014,10,8,25.328564902101984,24
-34.11658,151.2231,2014,10,9,247.8699181839134,24
-34.11658,151.2231,2014,10,10,237.0352745291828,24
-34.11658,151.2231,2014,10,11,274.95175434996816,24
-34.11658,151.2231,2014,10,12,408.6585756045315,24
-34.11658,151.2231,2014,10,13,-190.6451805960486,24
-34.11658,151.2231,2014,10,14,-849.0892266547283,24
-34.11658,151.2231,2014,10,15,-320.17724341448735,24
-34.11658,151.2231,2014,10,16,-82.04100362699741,24
-34.11658,151.2231,2014,10,17,-185.02262102544353,24
-34.11658,151.2231,2014,10,18,166.6912312765731,24
-34.11658,151.2231,2014,10,19,-44.31862461764769,24
-34.11658,151.2231,2014,10,20,21.465640556479656,24
-34.11658,151.2231,2014,10,21,177.2204048018316,24
-34.11658,151.2231,2014,10,22,276.5904743153678,24
-34.11658,151.2231,2015,6,16,89.07318056589743,24
-34.11658,151.2231,2015,6,17,-149.77582285702834,24
-34.11658,151.2231,2015,6,18,-457.6260737550914,24
-34.11658,151.2231,2015,6,19,-554.1164509022451,24
-34.11658,151.2231,2015,6,20,-307.7834293072403,24
-34.11658,151.2231,2015,6,21,-105.00853898671767,24
-34.11658,151.2231,2015,6,22,6.020307135022243,24
-34.11658,151.2231,2015,6,23,35.409079174697794,24
-34.11658,151.2231,2015,6,24,-79.88362083759709,24
-34.11658,151.2231,2015,6,25,-320.97910250435325,24
-34.11658,151.2231,2015,6,26,-87.02716709453449,24
-34.11658,151.2231,2015,6,27,-122.06713652945251,24
-34.11658,151.2231,2015,6,28,-70.95180153103907,24
-34.11658,151.2231,2015,6,29,25.509937791476563,24
-34.11658,151.2231,2015,6,30,-200.66205525833746,24
-34.11658,151.2231,2015,7,9,49.27615026054653,24
-34.11658,151.2231,2015,7,10,-43.57085919654289,24
