"Southeast.Winds","Northeast.Winds","Abundance"
1.4,-1.95,2.68854343670055e-08
1.45,-1.95,1.876843404934e-08
1.5,-1.95,1.30221661776523e-08
1.55,-1.95,8.98013035623965e-09
1.6,-1.95,6.15497455826271e-09
1.65,-1.95,4.19289605985956e-09
1.7,-1.95,2.83887417655667e-09
1.75,-1.95,1.91039162441238e-09
1.8,-1.95,1.27774114474661e-09
1.85,-1.95,8.49390828955198e-10
1.9,-1.95,5.61198457337794e-10
1.95,-1.95,3.68527230032704e-10
2,-1.95,2.40528703600107e-10
-2,-1.9,0.000711054902520174
-1.95,-1.9,0.000755812910165384
-1.9,-1.9,0.000798490383250111
-1.85,-1.9,0.000838434783841703
-1.8,-1.9,0.000875010164828415
-1.75,-1.9,0.000907613866117115
-1.7,-1.9,0.000935692954948958
-1.65,-1.9,0.000958759787031786
