"Southeast.Winds","Northeast.Winds","Abundance"
1.05,-1.95,0.00263522750481963
1.1,-1.95,0.00266581558531142
1.15,-1.95,0.0026958487635067
1.2,-1.95,0.00272530040588788
1.25,-1.95,0.00275414417536697
1.3,-1.95,0.00278235407026146
1.35,-1.95,0.00280990446312043
1.4,-1.95,0.0028367701393204
1.45,-1.95,0.00286292633534993
1.5,-1.95,0.00288834877670206
1.55,-1.95,0.00291301371529384
1.6,-1.95,0.00293689796633236
1.65,-1.95,0.00295997894454754
1.7,-1.95,0.00298223469971258
1.75,-1.95,0.00300364395137397
1.8,-1.95,0.00302418612271439
1.85,-1.95,0.00304384137347311
1.9,-1.95,0.00306259063185027
1.95,-1.95,0.00308041562532324
2,-1.95,0.00309729891030553
-2,-1.9,0.000721204550658256
-1.95,-1.9,0.000744663362922147
-1.9,-1.9,0.000768625786288378
-1.85,-1.9,0.000793091595241658
-1.8,-1.9,0.000818060039391282
-1.75,-1.9,0.000843529827794694
-1.7,-1.9,0.000869499113711057
-1.65,-1.9,0.000895965479829723
-1.6,-1.9,0.00092292592401873
-1.55,-1.9,0.00095037684563864
-1.5,-1.9,0.000978314032467031
-1.45,-1.9,0.00100673264827889
-1.4,-1.9,0.00103562722112794
-1.35,-1.9,0.00106499163237345
-1.3,-1.9,0.00109481910649699
-1.25,-1.9,0.00112510220175233
-1.2,-1.9,0.00115583280169162
-1.15,-1.9,0.00118700210760958
-1.1,-1.9,0.00121860063194674
-1.05,-1.9,0.00125061819269127
-1,-1.9,0.00128304390881802
-0.95,-1.9,0.00131586619680157
-0.9,-1.9,0.00134907276823871
-0.85,-1.9,0.00138265062861404
-0.8,-1.9,0.0014165860772403
-0.75,-1.9,0.00145086470840342
-0.7,-1.9,0.00148547141373971
-0.65,-1.9,0.00152039038587065
-0.6,-1.9,0.00155560512331834
-0.55,-1.9,0.00159109843672189
-0.5,-1.9,0.00162685245637276
-0.45,-1.9,0.00166284864108412
-0.4,-1.9,0.00169906778840646
-0.35,-1.9,0.00173549004619886
-0.3,-1.9,0.00177209492556215
-0.25,-1.9,0.00180886131513728
-0.2,-1.9,0.0018457674967687
-0.15,-1.9,0.00188279116252978
-0.0999999999999999,-1.9,0.0019199094331034
-0.0499999999999998,-1.9,0.00195709887750809
0,-1.9,0.00199433553415603
0.0500000000000003,-1.9,0.00203159493322648
0.1,-1.9,0.00206885212033409
0.15,-1.9,0.0021060816814685
0.2,-1.9,0.00214325776917809
0.25,-1.9,0.00218035412996706
0.3,-1.9,0.00221734413287176
0.35,-1.9,0.00225420079917883
0.4,-1.9,0.00229089683324415
0.45,-1.9,0.00232740465436831
0.5,-1.9,0.00236369642968124
0.55,-1.9,0.00239974410798524
0.6,-1.9,0.0024355194545026
0.65,-1.9,0.00247099408647116
0.7,-1.9,0.00250613950952794
0.75,-1.9,0.00254092715481864
0.8,-1.9,0.00257532841676769
0.85,-1.9,0.0026093146914414
0.9,-1.9,0.00264285741543422
0.95,-1.9,0.00267592810520585
1,-1.9,0.00270849839679517
1.05,-1.9,0.0027405400858348
1.1,-1.9,0.00277202516778859
1.15,-1.9,0.00280292587833282
1.2,-1.9,0.00283321473380059
1.25,-1.9,0.00286286457160779
1.3,-1.9,0.00289184859057814
1.35,-1.9,0.00292014039108417
1.4,-1.9,0.00294771401492055
1.45,-1.9,0.00297454398482588
1.5,-1.9,0.00300060534356922
1.55,-1.9,0.00302587369251764
1.6,-1.9,0.00305032522960177
1.65,-1.9,0.00307393678659675
1.7,-1.9,0.00309668586563718
1.75,-1.9,0.00311855067488559
1.8,-1.9,0.00313951016327541
1.85,-1.9,0.00315954405425098
1.9,-1.9,0.00317863287842914
1.95,-1.9,0.00319675800510851
2,-1.9,0.00321390167255553
-2,-1.85,0.000754617566375273
-1.95,-1.85,0.000779071759313718
-1.9,-1.85,0.00080404702073137
-1.85,-1.85,0.000829542930256685
-1.8,-1.85,0.000855558518737447
-1.75,-1.85,0.000882092252169776
-1.7,-1.85,0.0009091420160882
-1.65,-1.85,0.000936705100463313
-1.6,-1.85,0.000964778185153807
-1.55,-1.85,0.00099335732595978
-1.5,-1.85,0.00102243794132419
-1.45,-1.85,0.00105201479972919
-1.4,-1.85,0.00108208200783385
-1.35,-1.85,0.00111263299939929
-1.3,-1.85,0.00114366052504672
-1.25,-1.85,0.00117515664289327
-1.2,-1.85,0.0012071127101096
-1.15,-1.85,0.00123951937544222
-1.1,-1.85,0.00127236657274263
-1.05,-1.85,0.00130564351554369
-1,-1.85,0.0013393386927226
-0.95,-1.85,0.00137343986528818
-0.9,-1.85,0.00140793406432836
-0.85,-1.85,0.0014428075901521
-0.8,-1.85,0.0014780460126578
-0.75,-1.85,0.00151363417295843
-0.7,-1.85,0.00154955618629092
-0.65,-1.85,0.00158579544623546
-0.6,-1.85,0.00162233463026743
-0.55,-1.85,0.00165915570666226
-0.5,-1.85,0.00169623994277079
-0.45,-1.85,0.00173356791467959
-0.4,-1.85,0.0017711195182681
-0.35,-1.85,0.00180887398167101
-0.3,-1.85,0.00184680987915141
-0.25,-1.85,0.00188490514638674
-0.2,-1.85,0.00192313709716657
-0.15,-1.85,0.00196148244149752
-0.0999999999999999,-1.85,0.00199991730510737
-0.0499999999999998,-1.85,0.00203841725033681
0,-1.85,0.00207695729840387
0.0500000000000003,-1.85,0.00211551195302238
0.1,-1.85,0.00215405522535217
0.15,-1.85,0.00219256066025537
0.2,-1.85,0.00223100136382929
0.25,-1.85,0.00226935003218287
0.3,-1.85,0.00230757898142037
