"Year","Month","displacement","SOI_mean","count","Harm_Month"
1859,12,3423.85502808551,NA,248,6.28318530717959
1860,1,3188.00020722244,NA,248,0.523598775598299
1860,2,3324.72059706616,NA,232,1.0471975511966
1860,3,2751.6235668101,NA,248,1.5707963267949
1860,4,764.324941979239,NA,240,2.0943951023932
1860,5,1648.35379431293,NA,248,2.61799387799149
1860,6,4190.06653501935,NA,240,3.14159265358979
1860,7,1717.35735254152,NA,248,3.66519142918809
1860,8,690.96560550407,NA,248,4.18879020478639
1860,9,1047.29392861309,NA,240,4.71238898038469
1860,10,1276.40234400418,NA,248,5.23598775598299
1860,11,1880.59904374379,NA,240,5.75958653158129
1860,12,2678.4143591276,NA,248,6.28318530717959
1861,1,3185.73390961675,NA,248,0.523598775598299
1861,2,2878.65844009491,NA,224,1.0471975511966
