year,month,Monthly_Rain,count,,,,,,,
1958,1,77.7,31,,,,,,,
1958,2,302.2,28,,,,,,,
1958,3,355.7,30,,,,,,,
1958,4,107,30,,,,,,,
1958,5,17.3,31,,,,,,,
1958,6,183.7,29,,,,,,,
1958,7,19.3,31,,,,,,,
1958,8,77.9,31,,,,,,,
1958,9,33.2,30,,,,,,,
1958,10,27.7,31,,,,,,,
1958,11,6.9,30,,,,,,,
1958,12,115.1,31,,,,,,,
1959,1,163.1,31,,,,,,,
1959,2,269.8,28,,,,,,,
1959,3,347.7,31,,,,,,,
1959,4,82,30,,,,,,,
1959,5,22.7,31,,,,,,,
1959,6,68.9,29,,,,,,,
1959,7,136.4,31,,,,,,,
1959,8,33.5,31,,,,,,,
1959,9,60.4,30,,,,,,,
1959,10,331,30,,,,,,,
1959,11,159.2,30,,,,,,,
1959,12,62.4,31,,,,,,,
1960,1,87.3,30,,,,,,,
1960,2,109.9,27,,,,,,,
1960,3,128.6,31,,,,,,,
1960,4,54.2,30,,,,,,,
1960,5,82,31,,,,,,,
1960,6,89.7,30,,,,,,,
1960,7,97.1,31,,,,,,,
1960,8,68.6,31,,,,,,,
1960,9,57.3,30,,,,,,,
1960,10,147.4,31,,,,,,,
1960,11,70.3,30,,,,,,,
1960,12,287.9,29,,,,,,,
1961,1,62.5,31,,,,,,,
1961,2,95.6,28,,,,,,,
1961,3,222.1,29,,,,,,,
1961,4,106.5,30,,,,,,,
1961,5,22.9,31,,,,,,,
1961,6,51.6,30,,,,,,,
1961,7,32.1,30,,,,,,,
1961,8,166.9,30,,,,,,,
1961,9,41.2,30,,,,,,,
1961,10,128.3,31,,,,,,,
1961,11,791.2,28,,,,,,,
1961,12,213.2,30,,,,,,,
1962,1,176.8,29,,,,,,,
1962,2,156.1,27,,,,,,,
1962,3,106.7,30,,,,,,,
1962,4,77,30,,,,,,,
1962,5,175,30,,,,,,,
1962,6,0.5,30,,,,,,,
1962,7,52.1,30,,,,,,,
1962,8,85.9,30,,,,,,,
1962,9,99.6,29,,,,,,,
1962,10,31.7,31,,,,,,,
1962,11,47.6,30,,,,,,,
1962,12,177.7,30,,,,,,,
1963,1,199.6,31,,,,,,,
1963,2,107.7,25,,,,,,,
1963,3,316.6,28,,,,,,,
1963,4,244.1,27,,,,,,,
1963,5,326.3,27,,,,,,,
1963,6,165.8,29,,,,,,,
1963,7,26,31,,,,,,,
1963,8,229.5,30,,,,,,,
1963,9,46.7,28,,,,,,,
1963,10,49,31,,,,,,,
1963,11,78.6,30,,,,,,,
1963,12,243.4,31,,,,,,,
1964,1,73.4,29,,,,,,,
1964,2,46.6,28,,,,,,,
1964,3,122.2,29,,,,,,,
1964,4,186.3,28,,,,,,,
1964,5,6.2,31,,,,,,,
1964,6,504,29,,,,,,,
1964,7,4.4,31,,,,,,,
1964,8,40.7,30,,,,,,,
1964,9,25.8,30,,,,,,,
1964,10,72.3,30,,,,,,,
1964,11,86.9,29,,,,,,,
1964,12,40.4,31,,,,,,,
1965,1,41.2,31,,,,,,,
1965,2,24.2,28,,,,,,,
1965,3,16.8,31,,,,,,,
1965,4,99,29,,,,,,,
1965,5,54,31,,,,,,,
1965,6,120.8,29,,,,,,,
1965,7,91.4,30,,,,,,,
1965,8,32.8,31,,,,,,,
1965,9,57.8,29,,,,,,,
1965,10,205,28,,,,,,,
1965,11,38.4,30,,,,,,,
1965,12,62.4,30,,,,,,,
1966,1,36.8,30,,,,,,,
1966,2,167.5,27,,,,,,,
1966,3,63.7,31,,,,,,,
1966,4,52.4,30,,,,,,,
1966,5,0.8,31,,,,,,,
1966,6,202.7,29,,,,,,,
1966,7,18,31,,,,,,,
1966,8,69.7,31,,,,,,,
1966,9,60.1,29,,,,,,,
1966,10,80.2,29,,,,,,,
1966,11,240.6,30,,,,,,,
1966,12,117.5,31,,,,,,,
1967,1,273.9,31,,,,,,,
1967,2,126.3,27,,,,,,,
1967,3,236.5,30,,,,,,,
1967,4,39.7,30,,,,,,,
1967,5,14,31,,,,,,,
1967,6,225.3,30,,,,,,,
1967,7,40.6,31,,,,,,,
1967,8,161.3,31,,,,,,,
1967,9,85.1,30,,,,,,,
1967,10,72.7,31,,,,,,,
1967,11,55.8,30,,,,,,,
1967,12,22.6,31,,,,,,,
1968,1,175.8,31,,,,,,,
1968,2,25.1,29,,,,,,,
1968,3,106.7,31,,,,,,,
1968,4,15.9,30,,,,,,,
1968,5,86.9,31,,,,,,,
1968,6,12.7,30,,,,,,,
1968,7,31.7,31,,,,,,,
1968,8,7.1,31,,,,,,,
1968,9,6.6,30,,,,,,,
1968,10,14.8,31,,,,,,,
1968,11,38.1,30,,,,,,,
1968,12,133.5,31,,,,,,,
1969,1,46.2,31,,,,,,,
1969,2,167,26,,,,,,,
1969,3,134.5,31,,,,,,,
1969,4,228.4,30,,,,,,,
1969,5,43.7,31,,,,,,,
1969,6,86.4,30,,,,,,,
1969,7,81.8,31,,,,,,,
1969,8,169.3,31,,,,,,,
1969,9,91.3,30,,,,,,,
1969,10,135.3,31,,,,,,,
1969,11,366.6,29,,,,,,,
1969,12,21.8,31,,,,,,,
1970,1,115.3,31,,,,,,,
1970,2,48.6,28,,,,,,,
1970,3,104.7,31,,,,,,,
1970,4,33.6,30,,,,,,,
1970,5,9.9,31,,,,,,,
1970,6,17.5,30,,,,,,,
1970,7,0.5,31,,,,,,,
1970,8,10.4,31,,,,,,,
1970,9,160,30,,,,,,,
1970,10,33.2,31,,,,,,,
1970,11,78.6,30,,,,,,,
1970,12,289.8,31,,,,,,,
1971,1,108.9,31,,,,,,,
1971,2,332.8,27,,,,,,,
1971,3,52.4,31,,,,,,,
1971,4,50,30,,,,,,,
1971,5,54.8,30,,,,,,,
1971,6,25.7,30,,,,,,,
1971,7,11.2,31,,,,,,,
1971,8,88.4,30,,,,,,,
1971,9,18.8,30,,,,,,,
1971,10,3.8,31,,,,,,,
1971,11,56.4,30,,,,,,,
1971,12,217.9,27,,,,,,,
1972,1,483.4,31,,,,,,,
1972,2,71,24,,,,,,,
1972,3,150.8,31,,,,,,,
1972,4,177.8,26,,,,,,,
1972,5,52.1,28,,,,,,,
1972,6,109,30,,,,,,,
1972,7,1.8,31,,,,,,,
1972,8,58.4,30,,,,,,,
1972,9,15.6,30,,,,,,,
1972,10,235.3,30,,,,,,,
1972,11,54.7,30,,,,,,,
1972,12,72.6,31,,,,,,,
